adjudication,severity,dimension,title,file,independent_votes_against
not_adjudicated,major,protocol-integrity,"One clause in section 4 silently carries the entire ST endpoint and 99% of AF, and its magnitude is never stated",,0/0
not_adjudicated,major,ptbxl-script,"age>89 privacy branch is both zero-coverage and semantically wrong: 300 also encodes *missing* age (89 records), not just >89",,0/0
not_adjudicated,major,ptbxl-script,No assertion guards any waveform-identity result -- a total failure of the identity check exits 0 and writes a normal-looking artifact,,0/0
not_adjudicated,major,ptbxl-script,"F2 and F3 -- the two filters the audit exists to justify -- have no regression pin, and their entire combined effect is 3 records out of 1,685",,0/0
not_adjudicated,major,ptbxl-script,The 1.0.2 subset gate passes vacuously on an empty parse -- `dropped_in_v102_changelog: 36` is published with no assertion behind it,,0/0
not_adjudicated,minor,consistency,Report §7 hand-trace states record 420 has three noise spans; it has four,,0/0
not_adjudicated,minor,consistency,"""Positive counts per disease are below 100 each"" contradicts the conduction count of 111 stated in the same paragraph",,0/0
not_adjudicated,minor,consistency,"Emergency protocol calls all 592 VFDB annotations ""rhythm-change markers""; 73 are noise markers that its own §3 says do not change rhythm",,0/0
not_adjudicated,minor,consistency,"The 1603 negative windows are described as ""pure sinus"" but the rule admits a 0.999 tolerance; strictly pure gives 1602",,0/0
not_adjudicated,minor,incart,Report states gains 250..1100 while its own JSON measured 240..1063,,0/0
not_adjudicated,minor,incart,"Beat-label list reads as exhaustive but omits 159 annotations, including the only bundle-branch-block beat",,0/0
not_adjudicated,minor,incart,Conduction availability stated asymmetrically against ST — record-level conduction codes exist for 7 records / 4 patients,,0/0
not_adjudicated,minor,incart,"""(32 groups)"" sits next to the AF endpoint, which has positives in only 2 groups",,0/0
not_adjudicated,minor,incart,Historical arrays are absent from the repo; the report asserts what the evaluations used without saying so,,0/0
not_adjudicated,minor,incart,The cited 5f inversion-diagnosis script exists in neither the working tree nor git history,,0/0
not_adjudicated,minor,overreach,INCART gain range is reported as rounded numbers that contradict the audit's own recorded values,,0/0
not_adjudicated,minor,overreach,The official rule that defines every VFDB episode number is quoted but not preserved anywhere in the repository,,0/0
not_adjudicated,minor,protocol-integrity,"Both abort conditions are inert: the 1% preprocessing gate cannot plausibly fire on records500, and the one preflight aimed at the known failure mode is wired to have no consequence",,0/0
not_adjudicated,minor,protocol-integrity,'Closer to deployment' is an unsupported comparative claim in a project that bans clinical-validity claims,,0/0
not_adjudicated,minor,protocol-integrity,The stated incomparability of specificity is not quantified: a third of the cohort carries no code from the mapping at all,,0/0
not_adjudicated,minor,ptbxl-numbers,"""Positive counts per disease are below 100 each"" is false under the presence counts printed three lines above it",,0/0
not_adjudicated,minor,ptbxl-numbers,"""other rhythm codes 189"" is not reproducible from the report — SR is silently excluded, and including it gives 1529",,0/0
not_adjudicated,minor,ptbxl-numbers,"""identical ... lead names"" overstates a case-insensitive comparison; all 47/47 pairs differ in literal lead names and units",,0/0
not_adjudicated,minor,ptbxl-numbers,"""36 identical-raw-waveform duplicates"" in section 1 is waveform-verified for only 5 of the 36; the changelogs never state the deduplication criterion",,0/0
not_adjudicated,minor,ptbxl-script,`F3_records_with_identical_partner_in_test` does not measure 'in test' -- it measures 'has any partner at all',,0/0
not_adjudicated,minor,ptbxl-script,"The diag_likelihood_min sweep is a structural no-op for af / ectopy / st_change_surrogate, and the JSON keys do not say so",,0/0
not_adjudicated,minor,ptbxl-script,"Degenerate-lead blind spot in the identity comparison, with a live instance in the sample that is never surfaced",,0/0
not_adjudicated,minor,ptbxl-script,float() on the raw Challenge header age string will crash the run rather than record a mismatch,,0/0
adjudicated_rejected,major,incart,"""binary INCART evaluations (③ 0.710, 5f 0.284)"" merges two different models and drops the recorded inversion diagnosis",,3/3
adjudicated_rejected,major,vfdb-logic,"Fold stratification criterion is vacuous, and the real degeneracy risk (records with zero clean negatives) is unaddressed",,2/3
adjudicated_rejected,minor,vfdb-logic,"""records_with_unlabeled_start: 22"" is true but drops the magnitude — 96.6% of that total is one record",,3/3
