adjudication,severity,dimension,title,file,independent_votes_against,adjudication_20260911,evidence_20260911
not_adjudicated,major,consistency,Protocol's secondary-cohort definition does not reproduce 844 records — the SR exemption is applied in code but stated nowhere,,0/0,upheld_partial,"The SR exemption is now stated in protocol §4, so the 'stated nowhere' half is fixed. Still open: the other-rhythm set (AFLT, SVARR, SVTAC, PSVT, SARRH, STACH, SBRAD, PACE, BIGU, TRIGU, SR) exists only as a constant at audit_ptbxl_cross_version.py:39-40 and is enumerated nowhere in the protocol, so 844 remains underivable from the document alone."
not_adjudicated,major,incart,challenge_pvc_records: 0 is a regex artifact — 60 of the 74 Challenge records do carry ventricular-ectopy codes,,0/0,upheld_open,"The 0 was a regex artifact and is fixed to challenge_ventricular_ectopy_records = 59. The corrected value still undercounts: the regex matches only PVC/VEB/VPVC, and record I32 carries VBig (ventricular bigeminy) with 57 annotated V beats and no VEB/VPVC code. Records carrying ventricular ectopy are 60 of 74, as the finding said."
not_adjudicated,major,overreach,The INCART amplitude precedent is cited for the opposite of what the cited section concluded,,0/0,upheld_fixed,"Protocol §6 now reproduces 03_eval_results.md §11 correctly: sixfold standard deviation, scale hypothesis tested and rejected (AUROC 0.281 to 0.274), failure attributed to representation-level misclassification."
not_adjudicated,major,overreach,"""Identical-waveform"" independence is asserted flatly, but the relation is unmeasured for the two records that decide it",,0/0,upheld_open,"F3's condition 4 removes exactly 13803 (partner 142, train) and 15741 (partner 11810, train). None of 13803, 15741, 142 or 11810 appears in ptbxl_waveform_identity_sample.csv. The identity relation for the only two records the filter decides is taken from the official changelog and never measured, while all 47 measured pairs are records the filter does not decide."
not_adjudicated,major,overreach,Protocol asserts patient-level disjointness after the report established that PTB-XL patient_id is not a reliable identity boundary,,0/0,upheld_partial,"§1 asserts disjointness 'at record, patient and identical-waveform level' without qualification. §3 does state that patient_id is not a reliable identity boundary (18 of 38 duplicates cross patient ids, verified in ptbxl_cross_version_table.csv). The qualification exists in the same document, but §1's claim carries no cross-reference to it."
not_adjudicated,major,overreach,"The secondary cohort of 844 is not derivable from the rule as written; it requires silently exempting SR from ""other-rhythm""",,0/0,upheld_partial,"Replaying the rule on the frozen flags: SR exempt gives 844 (NSR 696, AF 38, ST 36, conduction 54, ectopy 20); SR not exempt gives 68. The exemption is now stated, so the 'silently' half is fixed; the rule as written still cannot reproduce 844 without the unenumerated other-rhythm set."
not_adjudicated,major,overreach,"The 5c ancestry risk is presented as pure absence of evidence, omitting the affirmative record and the magnitude",,0/0,upheld_open,"03_eval_results.md:131 records 5c's training data as CPSC train 2,217 plus PTB-XL train 12,847 at ptbxl_ratio 0.3, and 03_eval_results.md:262 records outputs/lora_mixed/lora_mixed_best.pt as a warm start off lora_multisnr_best.pt, the same line 5d and 5f descend from. Neither the 12,847 magnitude nor the shared warm-start ancestor appears in protocol §1.2, which states only the absence of a naming reference."
not_adjudicated,major,overreach,"Protocol drops the report's ""runtime pretraining logs"" gap while declaring the gap list exhaustive",,0/0,upheld_open,"report.md §5 lists three gaps: (a) runtime pretraining logs, (b) the 5d warm start, (c) 5c. pretraining_exposure_20260910/audit.json states 'Published pretraining split membership, not runtime training logs'. Protocol §1 says 'Two gaps remain open' and lists only 5d and 5c."
not_adjudicated,major,overreach,"Lead-name statement is wrong for the cohort source the protocol declares, and a literal per-record assertion would abort the run",,0/0,upheld_open,"Measured on primary headers: PTB-XL 1.0.3 records500 sig_name is I, II, III, AVR, AVL, AVF, V1..V6 with units 'mV'; CPSC2018 raw is I, II, III, aVR, aVL, aVF, V1..V6 with units 'mV'. Protocol §6 states 'aVR, aVL, aVF' for both and says the order is asserted per record. A literal per-record assertion would fail on every records500 record and abort the run."
not_adjudicated,major,protocol-integrity,"The frozen artifact ships a second, conflicting five-class cohort definition that doubles the ectopy N the protocol calls decisive",,0/0,upheld_open,"ptbxl_f3_label_flags.csv, hashed in §10, carries exclusive_priority_label over all 1682 records: ST 93, AF 71, conduction 99, ectopy 59, normal 797, unmapped 563. Protocol §5's secondary five-class view is a different construction over 844 records with ectopy 20. The finding understates the magnitude: 59/20 is 2.95x, not 2x. The priority column is never mentioned in the protocol."
not_adjudicated,major,protocol-integrity,The 'other-rhythm' exclusion set is never enumerated; the operative SR carve-out exists only as a script constant and swings the secondary cohort 12-fold,,0/0,upheld_partial,"Swing verified exactly: 844 with SR exempt against 68 without, a factor of 12.41, matching §4's 'roughly a twelfth'. The SR carve-out is now stated in §4, so that half is fixed; the full other-rhythm set is still only a script constant."
not_adjudicated,major,protocol-integrity,Section 7's threshold source is the same split that selected the frozen checkpoint; only the domain half of that dependence is disclosed,,0/0,upheld_partial,"§7 does say the validation split is 'P1's own model-selection data' and draws the domain-fit consequence. It does not draw the selection consequence: a07 epoch 18 alpha 0.7 was itself chosen on that split's composite score (00_research_plan.md:90, 02_training_logs.md:321-363), so a threshold read off it is fitted to the split the checkpoint was selected on."
not_adjudicated,major,protocol-integrity,"Section 9 keeps only the lowest rung of the internal protocol's mandatory sensitivity grid, and does not disclose the narrowing",,0/0,upheld_open,"electrode_coverage_protocol_v1.md:47-50 mandates the entire predeclared sensitivity grid 0.50/0.60/0.70/0.80/0.90 and warns 'Do not pick one favorable threshold after seeing results'. Protocol §9.1 keeps 0.50 only and does not disclose the narrowing, while §5 claims continuity with that same internal protocol."
not_adjudicated,major,protocol-integrity,"Analysis 2 compares against 'the internal ranking', but two internal rankings exist in the same frozen file and they disagree at Kendall tau 0.57",,0/0,upheld_open,"candidate_table.csv, frozen and hashed in §10, carries two rankings: macro_f1 (seed 42) and repeat_mean_macro_f1 (ten-seed mean). Kendall tau between them is 0.5714, matching the finding's 0.57; ranks disagree for 6 of the 8 configurations. §9.2 says 'the internal ranking' without saying which."
not_adjudicated,major,protocol-integrity,"The ST-change endpoint is entirely ST depression: STE_ contributes 0 of its 93 positives, and this is not stated",,0/0,upheld_fixed,"Recounted on F3 from ptbxl_database.csv: STD_ present in 93 records, STE_ in 0. Protocol §4 now carries this as a warning block."
not_adjudicated,major,protocol-integrity,"No primary metric is declared, and section 7 pre-excuses the failure of the only metric the primary analysis depends on",,0/0,upheld_open,"§5 declares a primary view, not a primary metric; §8 lists AUROC, sensitivity, specificity, F1, accuracy and Macro-F1 with no primacy among them. The only falsifiable analysis (§9.1) depends on sensitivity at the pre-fixed threshold, and §7 states in advance that 'Threshold transfer failure is an expected and reportable outcome, not a defect'."
not_adjudicated,major,protocol-integrity,The contamination risk the protocol names as live is deterministically measurable and is neither measured nor pre-registered,,0/0,upheld_open,"Measured. preprocess_ptbxl.py:134-150 splits patients with np.random.default_rng(42).shuffle then 15/15/70 over all 18869 patients, from metadata alone. Replaying it on 1.0.3 metadata gives 13209 train patients, 15223 records, 12849 label-usable, against the 12,847 recorded in 03_eval_results.md (0.016% apart, consistent with 5c having run on an earlier PTB-XL release). Overlap with the F3 cohort: 1012 of 1682 records (60.2%) and 1005 of 1673 patients were in the 5c PTB-XL training set. No waveforms and no inference were needed. Protocol §1.2 names this risk as live and neither measures it nor pre-registers measuring it."
not_adjudicated,major,protocol-integrity,"The pre-fixed threshold is an order statistic from 854 negatives but is treated as an exact constant, and its uncertainty is excluded from the bootstrap",,0/0,upheld_open,"CPSC multiclass val labels.npy holds 933 records with class counts {0:136, 1:176, 2:163, 3:379, 4:79}. For the smallest class the operating point is the 95th-percentile order statistic of 933-79 = 854 negative scores, exactly as the finding states. §8's bootstrap resamples cohort patients only, so the threshold enters every replicate as a constant and its own sampling variance is excluded."
not_adjudicated,major,protocol-integrity,"One clause in section 4 silently carries the entire ST endpoint and 99% of AF, and its magnitude is never stated",,0/0,upheld_open,"The clause is 'form and rhythm statements count by presence'. AFIB, STD_, STE_, PAC and PVC all have diagnostic = 0 in scp_statements.csv, so the likelihood >= 50 rule never touches them. On F3 all 93 ST positives (100%) and 90 of 91 AF positives (98.9%) exist only because of that clause; a >= 50 rule would leave 0 ST and 1 AF. §4 states the rule and never states its magnitude."
not_adjudicated,major,ptbxl-script,"age>89 privacy branch is both zero-coverage and semantically wrong: 300 also encodes *missing* age (89 records), not just >89",,0/0,upheld_open,"1.0.1 has 89 records with a missing age and none at 300; 1.0.3 has none missing and 293 at 300, and the 89 are a strict subset of the 293. So age == 300 in 1.0.3 conflates 204 genuinely-over-89 records with 89 records that carried no age at all, and the branch at audit_ptbxl_cross_version.py:305 accepts any Challenge age above 89 as a match for both. Coverage in the sample is zero: 0 of 47 compared records has v103_age 300 (maximum 87)."
not_adjudicated,major,ptbxl-script,No assertion guards any waveform-identity result -- a total failure of the identity check exits 0 and writes a normal-looking artifact,,0/0,upheld_open,"audit_ptbxl_cross_version.py:297-322 records digital_values_identical, gain_match, lead_names_match, age_match and sex_match into a CSV and a JSON summary and raises on none of them. A run in which every pair mismatched would exit 0 and write an artefact of the same shape."
not_adjudicated,major,ptbxl-script,"F2 and F3 -- the two filters the audit exists to justify -- have no regression pin, and their entire combined effect is 3 records out of 1,685",,0/0,upheld_open,"The only cohort assertion is 'if len(f1) != 1685 or f1.patient_id.nunique() != 1676' at line 190. The 7 tests in tests/test_external_cohort_lineage.py pin the changelog parser, the RECORDS parser, the Challenge folder rule and three INCART behaviours; none pins F2 or F3. The combined effect of both filters is 1685 to 1684 to 1682, three records."
not_adjudicated,major,ptbxl-script,The 1.0.2 subset gate passes vacuously on an empty parse -- `dropped_in_v102_changelog: 36` is published with no assertion behind it,,0/0,upheld_open,"'if not set(v102_map) <= set(v103_map)' is satisfied by the empty set, so a total parse failure of the 1.0.2 changelog passes it. dropped_in_v102_changelog = 36 is published from len(v102_map) with no assertion behind it, while the 1.0.3 parse is guarded by an equality against the metadata difference."
not_adjudicated,minor,consistency,Report §7 hand-trace states record 420 has three noise spans; it has four,,0/0,upheld_fixed,report.md §7's correction table records three to four for record 420.
not_adjudicated,minor,consistency,"""Positive counts per disease are below 100 each"" contradicts the conduction count of 111 stated in the same paragraph",,0/0,upheld_fixed,report.md §4 now reads 'Positives per disease run 91 to 111'.
not_adjudicated,minor,consistency,"Emergency protocol calls all 592 VFDB annotations ""rhythm-change markers""; 73 are noise markers that its own §3 says do not change rhythm",,0/0,upheld_fixed,"emergency_rhythm_protocol_v1.md §2 now reads '592 markers, of which 73 are (NOISE and 519 change rhythm'."
not_adjudicated,minor,consistency,"The 1603 negative windows are described as ""pure sinus"" but the rule admits a 0.999 tolerance; strictly pure gives 1602",,0/0,upheld_open,"audit_vfdb_episodes.py:147-148 selects dominant_fraction >= 0.999, not == 1.0. Recount on window_labels_10s.csv: 1603 windows at >= 0.999 and 1602 at exactly 1.0. The single window is record 610 at 800.0 s with dominant_fraction 0.9996. §3 still calls them 'pure sinus'."
not_adjudicated,minor,incart,Report states gains 250..1100 while its own JSON measured 240..1063,,0/0,upheld_fixed,Same correction as the ADC-gain finding; report.md §6 now carries 240..1063 and attributes 250..1100 to the README.
not_adjudicated,minor,incart,"Beat-label list reads as exhaustive but omits 159 annotations, including the only bundle-branch-block beat",,0/0,upheld_open,"incart_record_table.csv: 175919 total annotations against 175760 for the six symbols the report lists (N 150410, V 20013, A 1944, F 219, R 3174, L 0). The gap is exactly 159 = 147 other beat symbols (j 92, n 32, S 16, Q 6, B 1) plus 12 rhythm markers. The single B is the only unspecified bundle-branch-block beat in the database and the report's list omits it."
not_adjudicated,minor,incart,Conduction availability stated asymmetrically against ST — record-level conduction codes exist for 7 records / 4 patients,,0/0,upheld_open,"Record-level Challenge conduction-block codes (BBB, RBBB, NSIVCB, MoI) cover exactly 7 records, I09, I10, I11, I16, I17, I23 and I71, across 4 patients (5, 8, 11, 30). report.md §6 admits record-level free text and SNOMED codes as evidence for ST change but describes conduction at beat level only."
not_adjudicated,minor,incart,"""(32 groups)"" sits next to the AF endpoint, which has positives in only 2 groups",,0/0,upheld_open,"incart_annotation_audit.json historical_preprocess_replay.patients_in_afib_records = [22, 30]. report.md §6 offers 'a small AF endpoint with patient-grouped uncertainty (32 groups)'; that endpoint has positives in 2 of the 32."
not_adjudicated,minor,incart,Historical arrays are absent from the repo; the report asserts what the evaluations used without saying so,,0/0,upheld_partial,"No INCART .npy or .npz exists anywhere outside .git. The report does say the figures come from replaying preprocess_incart.py from annotations, and 04_run_history.md:86 records the (7811, 12, 5000) shape the replay is checked against, so the method is not hidden. What the report does not say is that the arrays themselves no longer exist, so 'reproduces the historical set exactly' is a match against a recorded count, not against the data those evaluations ran on."
not_adjudicated,minor,incart,The cited 5f inversion-diagnosis script exists in neither the working tree nor git history,,0/0,upheld_open,"03_eval_results.md §11 cites scripts/_diag_incart.py twice as the source of the INCART inversion diagnosis. It is absent from the working tree, from git log --all on that path, and from git rev-list --all --objects. The numbers that diagnosis produced (scale sd 1.5 / 0.023 / 0.25, AUROC 0.281 to 0.274, AF misrouted to conduction 412 of 540, normals to ischemia 3061 of 7271) have no derivation artefact, and external_validation_protocol_v1.md §6 rests its 'No scale correction is applied' decision on exactly that diagnosis."
not_adjudicated,minor,overreach,INCART gain range is reported as rounded numbers that contradict the audit's own recorded values,,0/0,upheld_fixed,Same correction as the other two ADC-gain findings.
not_adjudicated,minor,overreach,The official rule that defines every VFDB episode number is quoted but not preserved anywhere in the repository,,0/0,rejected,"The rule sentence is preserved in two tracked files: audit_vfdb_episodes.py:3-5 (module docstring) and emergency_rhythm_protocol_v1.md:45-47. The finding is false as worded. The narrower true point, which the finding does not make: vfdb_readiness_20260910/source_manifest.json hashes only RECORDS and the 66 .hea/.atr/.dat files, so the database page carrying the rule is the one input to the episode logic that is neither archived nor hashed."
not_adjudicated,minor,protocol-integrity,"Both abort conditions are inert: the 1% preprocessing gate cannot plausibly fire on records500, and the one preflight aimed at the known failure mode is wired to have no consequence",,0/0,upheld_open,"Abort 1 requires more than 1% of the cohort to fail preprocessing, i.e. 17 of 1682 uniform 500 Hz, 5000-sample records500 files. Abort 2: §6 declares the amplitude preflight 'reported as context only' and states that it exists 'so the distributions are on record, not so a decision can be read off them', so by construction it cannot stop the run. The §10 hash rule is now executable but is not one of the two conditions this finding names."
not_adjudicated,minor,protocol-integrity,'Closer to deployment' is an unsupported comparative claim in a project that bans clinical-validity claims,,0/0,upheld_open,"Protocol §5 says the negative set 'is closer to deployment than the internal test' with no supporting evidence, while electrode_coverage_protocol_v1.md:3 and :12 bar clinical-validation and clinical-suitability claims for this line of work."
not_adjudicated,minor,protocol-integrity,The stated incomparability of specificity is not quantified: a third of the cohort carries no code from the mapping at all,,0/0,upheld_open,"ptbxl_f3_label_flags.csv: 563 of 1682 F3 records, 33.5%, carry no code from the five-group mapping at all (exclusive_priority_label = -1). §5 states specificity is 'not comparable' and never gives this number."
not_adjudicated,minor,ptbxl-numbers,"""Positive counts per disease are below 100 each"" is false under the presence counts printed three lines above it",,0/0,upheld_fixed,"Same correction as its consistency twin; report.md §4 now states 91 to 111, and the presence counts AFIB 91, ST 93, conduction 111, ectopy 95 are reproduced from ptbxl_database.csv."
not_adjudicated,minor,ptbxl-numbers,"""other rhythm codes 189"" is not reproducible from the report — SR is silently excluded, and including it gives 1529",,0/0,upheld_open,"Recounted on F3: other-rhythm codes excluding SR give 189, including SR give 1529, and SR itself is present in 1342 of 1682 records. Both figures match the finding exactly. Protocol §4 now states the SR exemption, but report.md §4 still prints 189 with no mention that SR is excluded, so the report's number remains unreproducible from the report."
not_adjudicated,minor,ptbxl-numbers,"""identical ... lead names"" overstates a case-insensitive comparison; all 47/47 pairs differ in literal lead names and units",,0/0,upheld_open,audit_ptbxl_cross_version.py:319 compares upper-cased names. Measured over the 40 same-id pairs: literal lead-name matches 0 of 40 (Challenge aVR/aVL/aVF against records500 AVR/AVL/AVF) and unit matches 0 of 40 ('mv' against 'mV'). report.md §3 says all 47 were identical in lead names without the case qualifier.
not_adjudicated,minor,ptbxl-numbers,"""36 identical-raw-waveform duplicates"" in section 1 is waveform-verified for only 5 of the 36; the changelogs never state the deduplication criterion",,0/0,upheld_open,"The dropped records compared digitally are 137, 143, 2506, 11814, 11815, 3800 and 3801. Of these, 11815 and 3801 are the two 1.0.3-only drops, so exactly 5 of the 36 1.0.2 drops are waveform-verified. Neither changelog states the criterion by which the duplicates were identified; the audit propagates 'identical raw waveform duplicates' as drop_reason from the changelog wording."
not_adjudicated,minor,ptbxl-script,`F3_records_with_identical_partner_in_test` does not measure 'in test' -- it measures 'has any partner at all',,0/0,upheld_partial,"The expression is (f3.dup_partner_splits != '').sum(). f3 has already excluded train and valid partners, so it counts partners in test or unlisted, not 'in test'. The name is wrong. It is currently harmless because the value is 0, which makes the narrower claim true as well, but the field would over-report the moment an unlisted partner appeared."
not_adjudicated,minor,ptbxl-script,"The diag_likelihood_min sweep is a structural no-op for af / ectopy / st_change_surrogate, and the JSON keys do not say so",,0/0,upheld_open,"Confirmed, and broader than stated. flags() applies diag_min only when the code has diagnostic = 1, and other_rhythm applies no likelihood filter at all. Across diag_likelihood_min 1/50/100 on F3 the JSON gives af 91/91/91, ectopy 95/95/95, st_change_surrogate 93/93/93, conduction_restricted 111/111/111 and other_rhythm 189/189/189; only normal (839/834/633) and other_cd (268/268/259) move. Four of the seven keys are invariant and the key names do not say so."
not_adjudicated,minor,ptbxl-script,"Degenerate-lead blind spot in the identity comparison, with a live instance in the sample that is never surfaced",,0/0,upheld_partial,"The blind spot is real: np.array_equal treats an all-zero lead as a match and ptbxl_waveform_identity_sample.csv has no degeneracy column. The live instance is real: HR12722 lead index 10 (V5) is all-zero in the Challenge .mat and 12722 sits in the sample with digital_values_identical = True. 'Never surfaced' is inaccurate, since report.md §2 does state the all-zero V5 and its zero checksum, though for a different purpose and not in the identity artefact."
not_adjudicated,minor,ptbxl-script,float() on the raw Challenge header age string will crash the run rather than record a mismatch,,0/0,rejected,"Not reproducible. All 47 downloaded Challenge headers carry numeric '# Age:' strings, and the Challenge convention for an unknown age is 'NaN', which float() parses to nan without raising; nan > 89 is False, so such a row records a mismatch rather than crashing. Scope of this check: the 47 headers in work/external_lineage_sources_20260910/ptbxl/challenge. The remaining Challenge PTB-XL headers were not downloaded, so a non-numeric, non-NaN value elsewhere is unchecked rather than excluded."
adjudicated_rejected,major,incart,"""binary INCART evaluations (③ 0.710, 5f 0.284)"" merges two different models and drops the recorded inversion diagnosis",,3/3,adjudicated_rejected,cross-checked 2026-09-10; not re-examined here
adjudicated_rejected,major,vfdb-logic,"Fold stratification criterion is vacuous, and the real degeneracy risk (records with zero clean negatives) is unaddressed",,2/3,adjudicated_rejected,cross-checked 2026-09-10; not re-examined here
adjudicated_rejected,minor,vfdb-logic,"""records_with_unlabeled_start: 22"" is true but drops the magnitude — 96.6% of that total is one record",,3/3,adjudicated_rejected,cross-checked 2026-09-10; not re-examined here
