adjudication,severity,dimension,title,file,independent_votes_against,adjudication_20260911,evidence_20260911,finding_id_sha256,response_status,response_reason_and_action,correction_record,source_csv_sha256,resolution_commit_lookup
not_adjudicated,major,overreach,Protocol asserts patient-level disjointness after the report established that PTB-XL patient_id is not a reliable identity boundary,,0/0,upheld_partial,"§1 asserts disjointness 'at record, patient and identical-waveform level' without qualification. §3 does state that patient_id is not a reliable identity boundary (18 of 38 duplicates cross patient ids, verified in ptbxl_cross_version_table.csv). The qualification exists in the same document, but §1's claim carries no cross-reference to it.",54aedaca237a07cdaf0d5e268e6ebe3f4ec06d675349d61ef525e5573b86fdf7,documented_limitation,Patient IDs are recorded IDs; no exhaustive waveform/biological independence claim.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,overreach,"The secondary cohort of 844 is not derivable from the rule as written; it requires silently exempting SR from ""other-rhythm""",,0/0,upheld_partial,"Replaying the rule on the frozen flags: SR exempt gives 844 (NSR 696, AF 38, ST 36, conduction 54, ectopy 20); SR not exempt gives 68. The exemption is now stated, so the 'silently' half is fixed; the rule as written still cannot reproduce 844 without the unenumerated other-rhythm set.",8bb89026df81e5feb6e62ad530c402025293dbe188f2e0eaf99c9cbbcf0ce075,documented,Secondary844 definition explicitly exempts SR; eligibility file unchanged.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,overreach,"The 5c ancestry risk is presented as pure absence of evidence, omitting the affirmative record and the magnitude",,0/0,upheld_open,"03_eval_results.md:131 records 5c's training data as CPSC train 2,217 plus PTB-XL train 12,847 at ptbxl_ratio 0.3, and 03_eval_results.md:262 records outputs/lora_mixed/lora_mixed_best.pt as a warm start off lora_multisnr_best.pt, the same line 5d and 5f descend from. Neither the 12,847 magnitude nor the shared warm-start ancestor appears in protocol §1.2, which states only the absence of a naming reference.",328832efddfe87de99f1a39c6b35253252e07f83721a71924eb82b6cf9f8d147,documented_limitation,Stage5c common-parent record and1012/1005 replay disclosed; ancestry not proven.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,overreach,"Protocol drops the report's ""runtime pretraining logs"" gap while declaring the gap list exhaustive",,0/0,upheld_open,"report.md §5 lists three gaps: (a) runtime pretraining logs, (b) the 5d warm start, (c) 5c. pretraining_exposure_20260910/audit.json states 'Published pretraining split membership, not runtime training logs'. Protocol §1 says 'Two gaps remain open' and lists only 5d and 5c.",d04aa444a3b11652954ccbb4fb64c07fd9f52fee933ce175344c9027e1d55392,documented_limitation,Published pretraining list is not runtime training evidence; third gap restored.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,overreach,"Lead-name statement is wrong for the cohort source the protocol declares, and a literal per-record assertion would abort the run",,0/0,upheld_open,"Measured on primary headers: PTB-XL 1.0.3 records500 sig_name is I, II, III, AVR, AVL, AVF, V1..V6 with units 'mV'; CPSC2018 raw is I, II, III, aVR, aVL, aVF, V1..V6 with units 'mV'. Protocol §6 states 'aVR, aVL, aVF' for both and says the order is asserted per record. A literal per-record assertion would fail on every records500 record and abort the run.",60b3db7085897c07990130c6d66da1049718029566c323c60802c843fd059bd5,plan_clarified_pending_execution,Case-only lead canonicalization specified; units/order required; no scaling.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,protocol-integrity,"The frozen artifact ships a second, conflicting five-class cohort definition that doubles the ectopy N the protocol calls decisive",,0/0,upheld_open,"ptbxl_f3_label_flags.csv, hashed in §10, carries exclusive_priority_label over all 1682 records: ST 93, AF 71, conduction 99, ectopy 59, normal 797, unmapped 563. Protocol §5's secondary five-class view is a different construction over 844 records with ectopy 20. The finding understates the magnitude: 59/20 is 2.95x, not 2x. The priority column is never mentioned in the protocol.",45242f0b28ad97af0cdbd467e5b31a2c8a2b271c8c498d45551f8464f78cab34,documented,Full-cohort priority column is not secondary mask; explicit one-group exclusion rule.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,protocol-integrity,The 'other-rhythm' exclusion set is never enumerated; the operative SR carve-out exists only as a script constant and swings the secondary cohort 12-fold,,0/0,upheld_partial,"Swing verified exactly: 844 with SR exempt against 68 without, a factor of 12.41, matching §4's 'roughly a twelfth'. The SR carve-out is now stated in §4, so that half is fixed; the full other-rhythm set is still only a script constant.",2217efafe05a2bb0a43ef37a0e40123c02e406342e04d84cfcfa2ed6986af45f,documented,"Ten excluded other-rhythm codes enumerated, SR exempt;189 versus1529 disclosed.",records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,protocol-integrity,Section 7's threshold source is the same split that selected the frozen checkpoint; only the domain half of that dependence is disclosed,,0/0,upheld_partial,"§7 does say the validation split is 'P1's own model-selection data' and draws the domain-fit consequence. It does not draw the selection consequence: a07 epoch 18 alpha 0.7 was itself chosen on that split's composite score (00_research_plan.md:90, 02_training_logs.md:321-363), so a threshold read off it is fitted to the split the checkpoint was selected on.",94c428c4369428776e20190f049e573f9503716e31a7417630800e5a052451de,documented_limitation,Validation selected checkpoint and fits thresholds; uncertainty conditional on both.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,protocol-integrity,"Section 9 keeps only the lowest rung of the internal protocol's mandatory sensitivity grid, and does not disclose the narrowing",,0/0,upheld_open,"electrode_coverage_protocol_v1.md:47-50 mandates the entire predeclared sensitivity grid 0.50/0.60/0.70/0.80/0.90 and warns 'Do not pick one favorable threshold after seeing results'. Protocol §9.1 keeps 0.50 only and does not disclose the narrowing, while §5 claims continuity with that same internal protocol.",26505e3c0f839352df46f151f3754f15ebc3865e8e27f2c2420eeec5c3beed0d,plan_clarified_pending_execution,Restore all five internal sensitivity floors0.50..0.90 before outcomes.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,protocol-integrity,"Analysis 2 compares against 'the internal ranking', but two internal rankings exist in the same frozen file and they disagree at Kendall tau 0.57",,0/0,upheld_open,"candidate_table.csv, frozen and hashed in §10, carries two rankings: macro_f1 (seed 42) and repeat_mean_macro_f1 (ten-seed mean). Kendall tau between them is 0.5714, matching the finding's 0.57; ranks disagree for 6 of the 8 configurations. §9.2 says 'the internal ranking' without saying which.",2dce68906dff1b85c144b473c8986f299ec1607ef33e680c7fe9a743f04edc25,plan_clarified_pending_execution,Rank primary repeat-mean Macro-F1; seed42 ranking descriptive; tau-b specified.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,protocol-integrity,"The ST-change endpoint is entirely ST depression: STE_ contributes 0 of its 93 positives, and this is not stated",,0/0,upheld_fixed,"Recounted on F3 from ptbxl_database.csv: STD_ present in 93 records, STE_ in 0. Protocol §4 now carries this as a warning block.",c3d88486269b643c6ecfb4b816854c224026b024456555c220355044ad0ebae4,previously_corrected,ST endpoint93 STD_ and0 STE_ retained; no acute ischemia claim.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,protocol-integrity,"No primary metric is declared, and section 7 pre-excuses the failure of the only metric the primary analysis depends on",,0/0,upheld_open,"§5 declares a primary view, not a primary metric; §8 lists AUROC, sensitivity, specificity, F1, accuracy and Macro-F1 with no primacy among them. The only falsifiable analysis (§9.1) depends on sensitivity at the pre-fixed threshold, and §7 states in advance that 'Threshold transfer failure is an expected and reportable outcome, not a defect'.",a1122da83e4e693119c42090e00da097bd59ff98ab30607484bc1682d72862cd,plan_clarified_pending_execution,Sensitivity/achieved specificity primary; no expected-failure exemption.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,protocol-integrity,The contamination risk the protocol names as live is deterministically measurable and is neither measured nor pre-registered,,0/0,upheld_open,"Measured. preprocess_ptbxl.py:134-150 splits patients with np.random.default_rng(42).shuffle then 15/15/70 over all 18869 patients, from metadata alone. Replaying it on 1.0.3 metadata gives 13209 train patients, 15223 records, 12849 label-usable, against the 12,847 recorded in 03_eval_results.md (0.016% apart, consistent with 5c having run on an earlier PTB-XL release). Overlap with the F3 cohort: 1012 of 1682 records (60.2%) and 1005 of 1673 patients were in the 5c PTB-XL training set. No waveforms and no inference were needed. Protocol §1.2 names this risk as live and neither measures it nor pre-registers measuring it.",59aecf938006e28fe01c256b579eadf8a9541a9b8156958a1bed47981f9be228,documented_limitation,Replay1012/1682 overlap is conditional;12849 versus12847 discrepancy retained.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,protocol-integrity,"The pre-fixed threshold is an order statistic from 854 negatives but is treated as an exact constant, and its uncertainty is excluded from the bootstrap",,0/0,upheld_open,"CPSC multiclass val labels.npy holds 933 records with class counts {0:136, 1:176, 2:163, 3:379, 4:79}. For the smallest class the operating point is the 95th-percentile order statistic of 933-79 = 854 negative scores, exactly as the finding states. §8's bootstrap resamples cohort patients only, so the threshold enters every replicate as a constant and its own sampling variance is excluded.",c268d16b1a025f24976f26beb0d8f705bfb078ce6df49656ac41dc710ba37dad,documented_limitation,Threshold order statistics and negative counts disclosed; bootstrap excludes calibration uncertainty.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,protocol-integrity,"One clause in section 4 silently carries the entire ST endpoint and 99% of AF, and its magnitude is never stated",,0/0,upheld_open,"The clause is 'form and rhythm statements count by presence'. AFIB, STD_, STE_, PAC and PVC all have diagnostic = 0 in scp_statements.csv, so the likelihood >= 50 rule never touches them. On F3 all 93 ST positives (100%) and 90 of 91 AF positives (98.9%) exist only because of that clause; a >= 50 rule would leave 0 ST and 1 AF. §4 states the rule and never states its magnitude.",11bcbda37d812fbd567a0cdd4e790bb2eb6e01f946031871143a43e84a6f1dea,documented,AFIB91 versus1 at diagnostic threshold; STD93 presence-based; label schema fixed.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,ptbxl-script,"age>89 privacy branch is both zero-coverage and semantically wrong: 300 also encodes *missing* age (89 records), not just >89",,0/0,upheld_open,"1.0.1 has 89 records with a missing age and none at 300; 1.0.3 has none missing and 293 at 300, and the 89 are a strict subset of the 293. So age == 300 in 1.0.3 conflates 204 genuinely-over-89 records with 89 records that carried no age at all, and the branch at audit_ptbxl_cross_version.py:305 accepts any Challenge age above 89 as a match for both. Coverage in the sample is zero: 0 of 47 compared records has v103_age 300 (maximum 87).",abdfa3c1a3bd8adf4c2acbb2c54f7a09e9eb51a5437295a7dd0f4038f2b8dc66,code_corrected,"Age300 missing/privacy branches separated; six synthetic cases pass, not population validation.",records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,ptbxl-script,No assertion guards any waveform-identity result -- a total failure of the identity check exits 0 and writes a normal-looking artifact,,0/0,upheld_open,"audit_ptbxl_cross_version.py:297-322 records digital_values_identical, gain_match, lead_names_match, age_match and sex_match into a CSV and a JSON summary and raises on none of them. A run in which every pair mismatched would exit 0 and write an artefact of the same shape.",a510930aebc3973a94202a16f6f0ecb0464e3083941ea021255436e02ab137fd,code_corrected_gate_failed,Identity fail gate tested and actually fired on2 of78 pairs; evidence saved.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,ptbxl-script,"F2 and F3 -- the two filters the audit exists to justify -- have no regression pin, and their entire combined effect is 3 records out of 1,685",,0/0,upheld_open,"The only cohort assertion is 'if len(f1) != 1685 or f1.patient_id.nunique() != 1676' at line 190. The 7 tests in tests/test_external_cohort_lineage.py pin the changelog parser, the RECORDS parser, the Challenge folder rule and three INCART behaviours; none pins F2 or F3. The combined effect of both filters is 1685 to 1684 to 1682, three records.",fb1e0e95b1aa9e31b165400de68c8a286c13fc1803e3f0a73b28b18bf5469d99,code_corrected,F1/F2/F3 counts and removed IDs guarded; mutant filter tests pass.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,major,ptbxl-script,The 1.0.2 subset gate passes vacuously on an empty parse -- `dropped_in_v102_changelog: 36` is published with no assertion behind it,,0/0,upheld_open,"'if not set(v102_map) <= set(v103_map)' is satisfied by the empty set, so a total parse failure of the 1.0.2 changelog passes it. dropped_in_v102_changelog = 36 is published from len(v102_map) with no assertion behind it, while the 1.0.3 parse is guarded by an equality against the metadata difference.",0789120faa55f40ea74a041f1ce474cb8f6b97a14308fd895cee66765659da27,code_corrected,Exact36/38 map cardinalities required; empty1.0.2 parse regression rejected.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,consistency,Report §7 hand-trace states record 420 has three noise spans; it has four,,0/0,upheld_fixed,report.md §7's correction table records three to four for record 420.,c07d86a0605c5b1df07e8dad1e8a68d9b9ba40d89123519329fa9fa173a5a3b4,previously_corrected,Record420 four noise spans retained.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,consistency,"""Positive counts per disease are below 100 each"" contradicts the conduction count of 111 stated in the same paragraph",,0/0,upheld_fixed,report.md §4 now reads 'Positives per disease run 91 to 111'.,eed619941914e0c8e71920ec7ad8dca7a84a4e6e40dc728c42f60ce6d46a0d03,previously_corrected,"Disease positives91..111 retained, not all below100.",records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,consistency,"Emergency protocol calls all 592 VFDB annotations ""rhythm-change markers""; 73 are noise markers that its own §3 says do not change rhythm",,0/0,upheld_fixed,"emergency_rhythm_protocol_v1.md §2 now reads '592 markers, of which 73 are (NOISE and 519 change rhythm'.",5827f76972460e1b1e99bb76a9424d0f4638c4f79039d5be6240436b8446b3ed,previously_corrected,592 markers split519 rhythm/73 noise retained.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,consistency,"The 1603 negative windows are described as ""pure sinus"" but the rule admits a 0.999 tolerance; strictly pure gives 1602",,0/0,upheld_open,"audit_vfdb_episodes.py:147-148 selects dominant_fraction >= 0.999, not == 1.0. Recount on window_labels_10s.csv: 1603 windows at >= 0.999 and 1602 at exactly 1.0. The single window is record 610 at 800.0 s with dominant_fraction 0.9996. §3 still calls them 'pure sinus'.",7e8b6d989f760c73fcd55ea8d0a98de3a788f45276ee0e68a1f51b47d6d60d8b,documented,Rename sinus negative criterion>=99.9%;1603 versus1602 strict; tolerance unchanged.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,incart,Report states gains 250..1100 while its own JSON measured 240..1063,,0/0,upheld_fixed,Same correction as the ADC-gain finding; report.md §6 now carries 240..1063 and attributes 250..1100 to the README.,6a044bdc138a7d097a8484a1af3106fc305da1dc332def213f824639269aea29,previously_corrected,Gain240..1063 retained; official rounded description distinguished.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,incart,"Beat-label list reads as exhaustive but omits 159 annotations, including the only bundle-branch-block beat",,0/0,upheld_open,"incart_record_table.csv: 175919 total annotations against 175760 for the six symbols the report lists (N 150410, V 20013, A 1944, F 219, R 3174, L 0). The gap is exactly 159 = 147 other beat symbols (j 92, n 32, S 16, Q 6, B 1) plus 12 rhythm markers. The single B is the only unspecified bundle-branch-block beat in the database and the report's list omits it.",6e97e310244361a4c2c9b3db1a8bbd2b3fdbb6128e125d591594cc1585eb25e4,documented,159 omitted annotations broken into147 other beats and12 rhythm markers.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,incart,Conduction availability stated asymmetrically against ST — record-level conduction codes exist for 7 records / 4 patients,,0/0,upheld_open,"Record-level Challenge conduction-block codes (BBB, RBBB, NSIVCB, MoI) cover exactly 7 records, I09, I10, I11, I16, I17, I23 and I71, across 4 patients (5, 8, 11, 30). report.md §6 admits record-level free text and SNOMED codes as evidence for ST change but describes conduction at beat level only.",4627be50ace8842e726e889688bae3e6b589b71e0b83195367c9c410d6571c71,code_corrected,Added7 conduction-code records/4 patients; not temporal restricted-endpoint labels.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,incart,"""(32 groups)"" sits next to the AF endpoint, which has positives in only 2 groups",,0/0,upheld_open,"incart_annotation_audit.json historical_preprocess_replay.patients_in_afib_records = [22, 30]. report.md §6 offers 'a small AF endpoint with patient-grouped uncertainty (32 groups)'; that endpoint has positives in 2 of the 32.",251c43153dd697be3a1883756161091bc142d35f8569d992222bf4b947e2a149,documented_limitation,AF positives span2 of32 source groups;32 is not AF-positive sample size.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
not_adjudicated,minor,incart,Historical arrays are absent from the repo; the report asserts what the evaluations used without saying so,,0/0,upheld_partial,"No INCART .npy or .npz exists anywhere outside .git. The report does say the figures come from replaying preprocess_incart.py from annotations, and 04_run_history.md:86 records the (7811, 12, 5000) shape the replay is checked against, so the method is not hidden. What the report does not say is that the arrays themselves no longer exist, so 'reproduces the historical set exactly' is a match against a recorded count, not against the data those evaluations ran on.",174a810a677ce0fd2314378b4a7d32d3ba97c0e0669a6f8025438f2ed12e369c,documented_limitation,Historical INCART arrays absent;7811 annotation replay is not byte reproduction.,records/external_validation_protocol_amendment_20260911.md,a38f2333429488fa918f17cf8596fa776feca118f7e6aa02ef39072b0b4ad224,git log -1 --format=%H -- results/external_readiness_final_20260911/review_responses.csv
